"ID";"PLU";"PLU2";"Precio";"Marca";"Descripcion";"Tipo_Sabor";"Cantidad";"Unidad";"Departamento";"Pasillo";"Costo";"IVA";"Ganancia";"Cant1";"Precio1";"Cant2";"Precio2";"Cant3";"Precio3";"Fecha_de_modificacion"
1;"7798";"222";22.0;" cocacola";"m";"fanta";566.0;"1";" ";2;21.0;"21";6;0;0.0;0;0.0;0;0.0;""
2;"779";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
3;"777999";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
4;"66699";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
5;"5555";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
6;"7";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
7;"44545";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
8;"9889";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
9;"78966";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
10;"7896";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
11;"223323";"";0.0;"";"";"";0.0;"";"";0;0.0;"21";0;0;0.0;0;0.0;0;0.0;""
