FECHA,PLU,DETALLE,VENTA
06/04/2025,317,kit tintura,3000.0
06/06/2024,919,kit tintura,6000.0
28/02/2025,3682737,sena de envases,2000.0
21/03/2025,7790267,alfajor triple blanco 70g,600.0
07/03/2025,40084107,huevos sorpresas 20g,2900.0
21/02/2025,71483746,sahumerio,1500.0
07/04/2025,77900883,cigarillo comun X20U,2200.0
23/04/2025,77901095,s/azucar strong26.6g,950.0
20/03/2025,77902320,alfajor fulbito mani 30g,250.0
24/04/2025,77903501,opera 55g,700.0
24/04/2025,77903518,opera 92g,1100.0
30/07/2024,77903778,alf.triple dulce de leche 70g,1200.0
15/07/2024,77903785,alf.mousse triple x55g,1200.0
03/05/2025,77904744,pastilla 17g,700.0
11/05/2024,77906731,adhesivo con gel 3g,3000.0
16/04/2025,77907509,dos corazones chocolate 26g,2000.0
27/02/2025,77908377,cafe al conac 200ml,1900.0
08/04/2025,77912879,comun 20u,4500.0
08/04/2025,77912954,red box x20,5100.0
20/03/2025,77913586,alfajor fubito chocolate 30g,250.0
15/07/2024,77914217,chocolate con mani y leche 35g,1200.0
15/07/2024,77915481,alfajor triple 57g,1200.0
06/11/2024,77915818,cereal mix manzana 23g,1000.0
08/04/2025,77916433,comun 20u,5300.0
06/11/2024,77916501,cereal mix original 23g,1000.0
11/05/2024,77917188,adhesivo instataneo 2ml,2500.0
08/04/2025,77918482,ciga. box 20u,5700.0
07/04/2025,77922120,block chocolate mani 110g,4900.0
07/04/2025,77927965,cigarillos box x2o,2300.0
28/03/2025,77931528,barrita chocolate semiamargo,1200.0
05/04/2025,77931764,7 x-plosive mint,1100.0
05/04/2025,77932693,7 biowing mandarine 14g,1100.0
01/04/2025,77933928,pastilla menta lyptus 28g,900.0
30/09/2024,77939234,alfajor simple chocolate 50g,800.0
05/04/2025,77939753,7 freezin mentho,1100.0
08/04/2025,77940315,box 10u,3600.0
08/04/2025,77940735,cigarillo blue spin 20U,5100.0
07/04/2025,77941558,Cigarrillo x20 unidades,1900.0
23/04/2025,77944405,cherry,950.0
23/04/2025,77944412,naranja,950.0
22/01/2025,77944498,encededor elec.1U,1500.0
23/04/2025,77946805,cereza,950.0
23/04/2025,77946812,s/azucar durazno26.6g,950.0
23/04/2025,77946829,mentol,950.0
05/04/2025,77948496,7 violet cherry,1100.0
05/04/2025,77948588,7sandia,1100.0
05/04/2025,77951113,7 vibrant strawberry,1100.0
23/04/2025,77952455,car.manzana 28g,950.0
03/05/2025,77953124,cofler block chocolate 38g,2000.0
23/04/2025,77955111,cafe latte 28g,950.0
15/07/2024,77956699,alfajor triple 60g,1200.0
07/04/2025,77959751,cigarillos convertible on box,2300.0
05/04/2025,77964137,7 freezing menthol,1100.0
04/11/2024,77965233,clasicas x18g,400.0
04/04/2025,77965363,menta fuerte 16g,1100.0
09/10/2024,77965370,yoghurt&frutilla light 26g,1000.0
09/10/2024,77965387,yoghurt&frutilla 26g,1000.0
28/04/2025,77969071,chicle menta,900.0
28/04/2025,77969088,menta fuerte 10g,900.0
28/04/2025,77969095,chicle mentol,900.0
28/04/2025,77969101,chicle globo,900.0
28/04/2025,77969118,chicle frutilla,900.0
18/02/2025,77970763,cigarrillo menta 20u,2100.0
12/07/2024,77971913,caps box 10u,2400.0
24/04/2025,77974631,chocolate rellena 28g,2000.0
24/04/2025,77974648,choco.relleno ddl 27g,2000.0
07/04/2025,77974907,box 10,1250.0
27/02/2025,77975225,whisky 195ml,2900.0
22/05/2024,77975737,turron&mani chocolate 25g,300.0
15/02/2025,77976239,original 50g,3500.0
15/07/2024,77976307,alfajor x3 56 g,1200.0
31/03/2025,77976505,original  box 12,3100.0
31/03/2025,77976512,comun ks 20u,4500.0
31/03/2025,77976529,slon cured original box X20,5200.0
31/03/2025,77976949,purple mix uva 20u,5200.0
31/03/2025,77976956,convertible x20 ks,5200.0
31/03/2025,77976963,wild mix 10u,3200.0
31/03/2025,77976994,big chill X12,3500.0
31/03/2025,77977038,big chill box X20U,5200.0
20/11/2024,77977120,red comun X20U,2400.0
20/11/2024,77977151,click comun 20U,2400.0
22/01/2025,77977205,box 20,5200.0
22/01/2025,77977212,ks 20,4800.0
22/01/2025,77977229,box11,3200.0
26/04/2025,77980212,alfajor blanco x38g,400.0
26/04/2025,77980229,alfajor dulce de leche 38g,400.0
21/03/2025,77980274,alfajor triple dulce de leche,600.0
26/10/2024,77980755,crema repelente 60g,4100.0
31/03/2025,77980892,red 20 box,4800.0
05/03/2025,77981455,frutilla & chocolate 26g,1000.0
12/07/2024,77981813,box10u,2300.0
03/05/2025,77981912,cofler chocolate bco/mani 38g,2000.0
20/11/2024,77985217,XL CONVERTIBLE box X20U,2650.0
20/11/2024,77985224,convertible box X12,1900.0
20/11/2024,77985231,red box 12,1800.0
31/03/2025,77985897,red mix melon menta box 12,3500.0
31/03/2025,77985910,double plus MENTA MENTOL 20,5200.0
31/03/2025,77985927,double plus 12,3500.0
31/03/2025,77987587,XL double plus box 20,5200.0
31/03/2025,77987594,XL red mix box 20,5200.0
31/03/2025,77987600,purple mix XL uva menta BOX 20,5200.0
01/04/2025,77987662,pastilla cherry 28g,900.0
21/02/2025,77987983,odorono 60g,2300.0
22/01/2025,77988041,box 12u,3200.0
07/06/2024,77988256,dolca bananita 14g,800.0
31/03/2025,77988379,convertible box 20,5200.0
11/07/2024,77990112,petaca cafe al conac 200ml,2000.0
31/03/2025,77990921,origen red ks 20,2500.0
11/07/2024,77991881,petaca menta 200ml,2000.0
11/07/2024,77991904,petaca cafe whisky 200ml,2000.0
10/09/2024,77995681,rhodesia 22g,900.0
04/04/2025,78600010,menta 16g,1100.0
04/04/2025,78600027,naranja 16g,1100.0
27/02/2025,78602731,joy x20g,2900.0
04/04/2025,78605831,dupla sabor frutilla 16g,1100.0
08/04/2025,78909434,chocolate bom o bom,3500.0
15/02/2025,78923423,sensitive 50ml,2800.0
15/02/2025,78927254,men care proteccion total 50ml,3500.0
27/02/2025,78931053,huevos sorpresa x20g,2900.0
15/02/2025,78935068,go fresh granada verbena 50ml,3500.0
08/07/2024,78937697,go fresh crema humectante 50ml,3300.0
24/09/2024,78944794,invisible 50ml,2600.0
15/02/2025,78944800,V8 50ml,2800.0
13/11/2024,78944848,active emotion50ml,2600.0
04/04/2025,80050315,chocolate barra 12.5g,900.0
24/03/2025,80052487,bombon con coco y almendras30g,3500.0
22/04/2025,39800011626,bateria 9V1,7500.0
02/06/2024,41333000985,pilas D2,13000.0
09/05/2024,41333045405,pilas AA x2,3000.0
09/05/2024,41333045412,pilas AAA x2,3000.0
31/03/2025,41789001840,pollo picante 64g,4000.0
31/03/2025,41789001918,pollo 64g,4000.0
31/03/2025,41789001925,carne 64g,4000.0
01/04/2025,41789001956,camaron 64g,4000.0
04/02/2025,41789002915,pollo 85g,2800.0
23/08/2024,41789002922,carne 85g,2300.0
13/02/2025,41789002977,camaron 85g,2800.0
13/02/2025,41789002984,camaron picante 85g,2800.0
13/02/2025,41789002991,pollo picante 85g,2800.0
01/07/2024,70330125285,lapizera opaco,1200.0
15/08/2024,70330662506,encendedor collection afa,2200.0
01/07/2024,70330913431,encendedor MINI 1u,1500.0
16/02/2025,70847032861,ultra energy 473ml grils,3700.0
25/02/2025,76625212067,tostadas de arroz sin sal 150g,1500.0
25/02/2025,76625212074,tostados de arroz clasica 150g,1500.0
16/02/2025,100784789417,white pineapple 473ml,3700.0
03/04/2025,648260489304,piedras sanitarias 5Lts,1400.0
03/02/2025,656750783979,pasta de mani mix semillas 370,4500.0
10/03/2025,656750796511,con chip sabor vainilla 120g,500.0
12/12/2024,658325387551,durazno 820g,2000.0
10/04/2025,709081096529,yerbas natural500g,1900.0
12/03/2025,720665993362,polenta 1kg,900.0
05/11/2024,724751033390,gin750ml,11000.0
26/02/2025,736684208707,pasta de mani natural 370g,3500.0
26/02/2025,736684208721,pasta de mani coco 370g,3500.0
01/05/2025,763571663448,agua bidon 6L,1600.0
17/04/2025,763571779262,nuez pelada 100g,3200.0
14/03/2025,763571779286,almendra 100g,3950.0
14/03/2025,763571780176,caju 100g,3950.0
14/03/2025,763571780183,pasas negra 100g,1500.0
14/03/2025,763571780190,pasas rubia100g,2000.0
14/03/2025,763571780206,ciruelas sin carozo 100g,1600.0
08/04/2025,763571780213,mix clasico 100g,3100.0
08/04/2025,763571780220,mix con mani sin sal 100g,3100.0
14/03/2025,763571780237,mix tropical 100g,3100.0
14/03/2025,763571780244,chips banana 100g,3000.0
14/03/2025,763571780251,chips chocolate negro100g,2900.0
14/03/2025,763571780268,chips blanco 100g,2900.0
14/03/2025,763571780275,rocklets 100g,3900.0
14/03/2025,763571780282,semilla de chia 100g,1600.0
14/03/2025,763571780299,sesamo100g,1600.0
14/03/2025,763571780305,semilla de girasol 100g,1600.0
14/06/2024,763571780312,semilla de lino x100g,1000.0
14/03/2025,763571780329,mix de semilla 100g,1600.0
14/03/2025,763571780442,granas multicolor 100g,1600.0
05/11/2024,763571808290,blueberry750ml,12500.0
14/03/2025,765571780411,arandanos 100g,2800.0
01/11/2024,779046007715,mermelada light durazno 390g,2000.0
05/08/2024,779186600565,mayonesa118g,350.0
14/03/2025,781584294541,chips choco. blanco x100g,2900.0
14/03/2025,781584294657,pasa uva rubia x100g,2000.0
18/09/2024,790757822252,papel manteca,2500.0
25/04/2025,790757878464,aceite oliva 500ml,6600.0
25/04/2025,790757878471,aceite de oliva 500ml,5400.0
11/04/2025,798338290479,leche clasica 1l,1800.0
16/02/2025,1007084701235,energy 473ml negro,3700.0
16/02/2025,1007084702751,energy the doctor 473ml amaril,3700.0
16/02/2025,1007084703123,ultra watermelon 473ml rojo,3700.0
16/02/2025,1007084703475,mango loco 473ml cereste,3700.0
16/02/2025,1007084703536,ultra paradise 473ml verde,3700.0
16/02/2025,1007084703703,ultra sunrise 473ml naranjado,3700.0
16/02/2025,1007084789387,energy ultra 473ml,3700.0
30/01/2025,3306019000055,palillos de bambu,1000.0
29/07/2024,4005800137679,creme lata 60ml,2500.0
11/03/2025,4005808257553,rollob dry50ml,2300.0
31/01/2025,4005808257621,men sensitive protect 50ml,2500.0
31/01/2025,4005808257669,pearl beauty 50ml,2500.0
26/01/2025,4005808662388,sensitive & pure,3500.0
31/01/2025,4005900036704,mujer black white 50ml,2500.0
11/03/2025,4005900036759,rollon black&white 52g,2300.0
26/01/2025,4005900122186,protect & care 0 alcoho,3500.0
19/10/2024,4005900170996,tela elastica 8und.,1000.0
11/03/2025,4005900353054,men protect & care,3900.0
31/01/2025,4005900517005,men fresh ice 50ml,2500.0
26/01/2025,4005900901309,black & white invisible,3500.0
26/01/2025,4005900901323,fresh agua de coco,3500.0
11/03/2025,4005900901330,men black & white invisible,3900.0
26/01/2025,4005900901354,black flesh lady invisible,3500.0
26/01/2025,4005900902283,lady black pearl,3500.0
10/03/2025,4005900984609,milk nutritiva rapido absorcio,3900.0
11/03/2025,4005900984616,milk nutritiva 5 en 1 241g,5500.0
10/10/2024,4006000016702,protector solor 30fps 200ml,17500.0
10/03/2025,4006000016719,protector solor 50fps 200ml,21000.0
10/10/2024,4006000016733,babies &kids 65fps 200ml,23000.0
10/03/2025,4006000040349,hidratacion express 123g,3100.0
10/03/2025,4006000040370,soft milk carite p seca 123g,3100.0
28/10/2024,4006000050188,jabon creme care,3500.0
28/10/2024,4006000050201,jabon glicerina orquideas,4000.0
02/03/2025,4891610055209,NUTRITIVE,3300.0
29/04/2025,5000267014005,red label whisky 750ml,40000.0
29/04/2025,5000299618417,Gin 700ml,29999.0
22/03/2025,5412588007701,simplot papa noisettes 500gr,1050.0
07/03/2025,5901882311862,cup moroccan chicken 60g,4000.0
07/03/2025,6150579644441,tijerita,2500.0
07/03/2025,6792081860443,mini grapadora dl0134,2000.0
23/08/2024,6900873060061,ramen carne 104g,3000.0
31/03/2025,6900873060269,ramen picante 104g,3500.0
29/03/2025,6901028075381,candado 38mm,8500.0
29/03/2025,6901028075503,candado 50mm,11000.0
29/04/2025,6910021007206,cepillo premier clean 1und,2100.0
25/01/2025,6924470301655,pegamento instanteeo,1600.0
09/03/2025,6927799692855,lithium battery CR2032,2000.0
07/03/2025,6931500509516,permanent marker,1000.0
23/01/2025,6937754000564,prestobarba 4 filos,2800.0
02/04/2025,6937962107086,rame carne5u,12900.0
02/04/2025,6937962107093,rame seadfood flavor 5u,12900.0
02/04/2025,6937962107109,ramen pollo con champinio 5u,12900.0
13/04/2025,6937962130183,ramen carne con vinagre 105g,3000.0
19/03/2025,6938957111255,vegetable flavor tasty 1 81g,3000.0
07/03/2025,6939412905013,tijerita,1000.0
07/03/2025,6955466430882,articles ofeveryday use,2500.0
18/09/2024,6956288663311,para bbq 50u,1800.0
11/11/2024,7500435019484,shampoo 3en1  men 180ml,6000.0
25/09/2024,7500435134262,shampoo prolongalos,2900.0
11/11/2024,7500435138000,shampoo carbon activado 375ml,11000.0
02/05/2024,7500435138505,prestobarba suave sensitive,3500.0
25/09/2024,7500435139229,shampoo crimson orange & mint,2900.0
22/04/2025,7500435141536,mach 3 maquina afeitar recarg,9500.0
14/08/2024,7500435147569,dermo acondicionador manzana,11000.0
14/08/2024,7500435147576,dremo acondicionador carbon,11000.0
25/03/2025,7500435148047,shampoo 180ml,6000.0
01/11/2024,7500435159210,shampoo crece fuerte raiz,11000.0
12/07/2024,7500435168021,shampoo bambu,8900.0
25/04/2025,7500435170932,repuesto filo roja 5u,3000.0
02/09/2024,7500435181952,toallas suave 8u,900.0
01/11/2024,7500435182768,shampoo limpieza renovadora,11000.0
28/04/2025,7500435183949,limon cremoso 215ml,2000.0
05/03/2025,7500435198776,maquina afetadora,1600.0
01/04/2025,7500435201292,brisa intenso,6500.0
11/11/2024,7500435202671,shampoo aceite argan 180ml,6000.0
01/11/2024,7500435202695,shampoo limpieza revital.375ml,11000.0
14/08/2024,7500435202732,dermo acondicionador aceite ar,11000.0
28/04/2025,7500435202923,detergente limon x300ml,2400.0
28/03/2025,7500435202930,detergente limon 500ml,4000.0
14/06/2024,7500435202985,marina 300ml,2400.0
23/05/2024,7500435203227,jabon liquido maxima limpieza,9200.0
14/08/2024,7500435206440,shampoo men 3en1,11000.0
14/08/2024,7500435206488,shampoo hidratacion,11000.0
14/08/2024,7500435206549,shampoo humectacion,11000.0
14/08/2024,7500435206587,shampoo manzana fresh 375ml,11000.0
14/08/2024,7500435206693,shampoo suave y manejable,11000.0
12/09/2024,7500435209694,eqilibrio raiz puntas,7900.0
28/03/2025,7500435216487,marina 500ml,4000.0
21/05/2024,7500435216500,detergente marina 215,2000.0
28/03/2025,7500435216548,limon 500ml,4000.0
30/07/2024,7500435216562,limon 215ml,2000.0
28/03/2025,7500435218917,pureza activa 500ml,4000.0
06/05/2024,7500435219648,foamy sensitive 179ml,6500.0
14/08/2024,7500435219662,foamy mentol 312g,8000.0
11/11/2024,7500435229487,toallas nocturnas seca 8U,3200.0
01/04/2025,7500435229494,toallas nocturas seca 16U,6200.0
11/11/2024,7500435229500,toallas nocturnas suave 8U,3000.0
01/04/2025,7500435229517,toalla noche suave 16u,6200.0
12/07/2024,7500435229852,"acond, detox",5700.0
12/07/2024,7500435230001,acond.equilibrio raiz puntas,5700.0
12/07/2024,7500435230094,sham.hidrata,8900.0
12/07/2024,7500435230117,acond.hidrata,8900.0
01/11/2024,7500435231237,shampoo anti comezon,11000.0
14/06/2024,7500435237772,jabon liquido platinum 27lavad,9200.0
29/03/2025,7500810034484,xplosidn 49g,2300.0
29/03/2025,7500810034491,original 49g,2300.0
07/07/2024,7501056325442,cremas piel suave y tersa 50g,2500.0
26/03/2025,7505946695457,crema dental classica 70g,2400.0
01/04/2025,7506195143872,frescura de la primavera,6500.0
09/10/2024,7506306214989,classic 96H aerosol 150ml,5500.0
02/02/2025,7509546031828,cepillo extra clean x2u,3200.0
02/02/2025,7509546068558,minion 6A+ x2,5000.0
02/02/2025,7509546073453,cepillo dental tandy 5A X2U,4500.0
08/01/2025,7509546665672,kolynos crema dental 180g,4800.0
13/06/2024,7509546665931,crena dental 180g,4000.0
13/06/2024,7509546665948,crema dental 90g,1800.0
02/02/2025,7509546669205,cepillo comfort x2,5700.0
29/04/2025,7509546673042,zig zag cepillo dental suave x,6000.0
14/12/2024,7509546677170,kolynos crema dental 90g,2600.0
27/12/2024,7509546677552,crema dental triple accion 70g,4000.0
27/12/2024,7509546677569,crema dental triple accion 90g,4500.0
26/02/2025,7509546686271,crema dental 180ml,5200.0
09/02/2025,7509546686400,crema dental herbal 70g,2700.0
13/06/2024,7509546687285,doble proteccion 70g,1600.0
29/04/2025,7509546690315,maxwhite cepillo dental carbon,7000.0
31/01/2025,7509546692166,crema dental anticaries 180g,5200.0
29/04/2025,7509546692265,crema dental doble accion 70g,2100.0
29/07/2024,7509552800135,shampoo detox,5000.0
29/03/2025,7509552914504,shampoo oleo rizos defino,4000.0
31/03/2025,7613287953285,cafe suave 170g,6800.0
30/09/2024,7622201385255,manon galletitas 182g,1000.0
09/09/2024,7622201464882,polvo para hornear 50g,1400.0
30/09/2024,7622201492717,choco pause leche 45g,2800.0
25/10/2024,7622201682026,jugo polvo limonada rosa 7.5g,400.0
28/04/2025,7622201702656,jugo polvo limonada 8g,400.0
25/10/2024,7622201703059,jugo polvo manzana verde 7.5g,400.0
25/10/2024,7622201703080,jugo polvo manzana deliciosa,400.0
25/10/2024,7622201703110,jugo polvo naranja 8g,400.0
28/04/2025,7622201703141,jugo polvo naranja dulce 7.5g,400.0
25/10/2024,7622201703233,jugo polvo pomelo amarillo 8g,400.0
21/02/2025,7622201705169,postre chocolate 65g,2100.0
24/03/2025,7622201705480,crema chantilly 50g,2300.0
25/10/2024,7622201705961,jugo polvo naranja 15g,400.0
25/10/2024,7622201705992,jugo polvo manzana 15g,400.0
17/02/2025,7622201733834,jugo polvo limonada maracuya,400.0
17/02/2025,7622201735296,galletita dulces con cacao,1750.0
25/10/2024,7622201735340,jugo en polvo naranja dulce 15,400.0
25/10/2024,7622201735371,jugo polvo naranja mango 15g,400.0
25/10/2024,7622201735685,jugo polvo limonada dulce 15g,400.0
25/10/2024,7622201735715,jugo polvo multifruta 15g,400.0
25/10/2024,7622201735746,jugo polvo pomelo rosado 15g,400.0
17/02/2025,7622201735906,reg single con chipas 119g,1650.0
13/03/2025,7622201736033,clasica 212g,1400.0
25/10/2024,7622201745707,jugo polvo naranja durazno 15g,400.0
25/10/2024,7622201745738,jugo polvo pera 15g,400.0
25/10/2024,7622201746018,jugo polvo naranja lima 15g,400.0
25/10/2024,7622201746117,jugo polvo uva 15g,400.0
25/10/2024,7622201746490,jugo polvo frutilla 15g,400.0
08/11/2024,7622201761288,mini oreo 50g,800.0
25/10/2024,7622201807672,jugo polvo pera 7g,400.0
04/04/2025,7622201812652,clasico 111g,2500.0
01/04/2025,7622201812676,marmolado 111g,2500.0
18/04/2025,7622201816384,clasico 26g,1000.0
18/04/2025,7622201816414,clasico 41g,1400.0
18/04/2025,7622201816445,clasico 64g,1700.0
22/04/2025,7622201818654,yoghurt frutilla 29g,2200.0
03/01/2025,7622201819668,gelatina frambuesa 25g,1300.0
19/03/2025,7622202049033,galletita sabor chocolate 118g,1800.0
28/04/2025,7622202217265,gomitas mix fruta acidos16.5g,700.0
02/09/2024,7622202220555,galletitas sabor vainilla 120g,650.0
30/07/2024,7622202220579,galletitas sabor a miel 120g,650.0
28/10/2024,7622210691835,jamon 141g,2950.0
20/01/2025,7622210692245,jamon 23.5g,600.0
18/06/2024,7622210745224,chocolate leche 55g,2000.0
18/06/2024,7622210745583,chocolate blanco 55g,2000.0
18/06/2024,7622210745620,choco.almendras55g,2000.0
30/07/2024,7622300457303,alf.triple musse blanco 70g,1200.0
30/09/2024,7622300742645,duquesa galletitas 115g,900.0
30/09/2024,7622300759506,alfajor simple mousse 42g,800.0
30/09/2024,7622300829728,melba galletitas 120g,900.0
28/04/2025,7622300835620,alf.triple oreo 61g,1800.0
08/10/2024,7622300990749,original 144g,2700.0
19/10/2024,7702003010743,tela elastica 8und.,1000.0
18/02/2025,7702003469237,tela elastica x10und,1250.0
02/05/2024,7702018874781,prestobarba 3filos,3500.0
15/01/2025,7702026176334,tampones mini 8U,3500.0
15/01/2025,7702026190750,tampones regular 8u,3500.0
15/01/2025,7702026190767,tampones super 8u,3500.0
15/01/2025,7702026194581,tampones regular 8u,3500.0
15/01/2025,7702026194697,tampones super 8u,3500.0
